2019-01-01 - 2019-12-31;;Top Hotspots - Conexões;
#;Locais;Hotspot;Conexões
1;Biguaçu;B0494;6.041,00
2;Biguaçu;B1304;5.201,00
3;Biguaçu;B1104;4.596,00
4;Biguaçu;B1118;4.165,00
5;Biguaçu;B1102;3.998,00
6;Biguaçu;B1801;3.865,00
7;Biguaçu;B1112;3.654,00
8;Biguaçu;B1108;3.582,00
9;Biguaçu;B1113;3.557,00
10;Biguaçu;B1103;3.491,00
11;Biguaçu;B0437;3.337,00
12;Biguaçu;B1105;3.300,00
13;Biguaçu;B1407;2.865,00
14;Biguaçu;B1110;2.620,00
15;Biguaçu;B1805;2.336,00
16;Biguaçu;B0415;2.290,00
17;Biguaçu;B1815;1.747,00
18;Biguaçu;B1817;1.664,00
19;Biguaçu;B1823;1.377,00
20;Biguaçu;B0388;1.350,00
21;Biguaçu;B0419;1.299,00
22;Biguaçu;B1803;1.274,00
23;Biguaçu;B1020;1.074,00
24;Biguaçu;B1804;1.021,00
25;Biguaçu;B1116;901,00
26;Biguaçu;B1403;858,00
27;Biguaçu;EXTRA 03;591,00
28;Biguaçu;B1021;535,00
29;Biguaçu;DOUG;410,00
30;Biguaçu;B0436;358,00
31;Biguaçu;B1402;97,00
32;Biguaçu;PLAYER COMERCIAL;8,00
33;Biguaçu;COMERCIAL CRIS;4,00
34;Desconhecido;Desconhecido;2,00
35;Desconhecido;Desconhecido;2,00
36;Desconhecido;Desconhecido;2,00
37;Desconhecido;Desconhecido;1,00
38;Desconhecido;Desconhecido;1,00
39;Desconhecido;Desconhecido;1,00
40;Desconhecido;Desconhecido;1,00
41;Desconhecido;Desconhecido;1,00
42;Desconhecido;Desconhecido;1,00
43;Desconhecido;Desconhecido;1,00
44;Biguaçu;B1102;1,00
45;Desconhecido;Desconhecido;1,00
46;Desconhecido;Desconhecido;1,00
